Category,months,TotalAmount,max,min,average
Other,2021-11,2000.0,2000.0,2000.0,2000.0
Other,2021-12,1790.0,400.0,20.0,137.69230769230768
Other,2022-01,13178.0,2000.0,5.0,399.3333333333333
Other,2022-02,20000.0,10000.0,50.0,2000.0
Other,2022-03,900.0,500.0,100.0,300.0
Food,2021-11,3174.4,875.0,15.0,122.0923076923077
Food,2021-12,5335.0,504.0,10.0,93.59649122807018
Food,2022-01,9112.509999999998,1530.0,10.0,207.10249999999996
Food,2022-02,5579.85,641.0,25.0,214.6096153846154
Food,2022-03,195.0,78.0,50.0,65.0
Allowance,2021-11,2000.0,2000.0,2000.0,2000.0
Allowance,2021-12,11000.0,8000.0,1000.0,2750.0
Allowance,2022-01,1000.0,1000.0,1000.0,1000.0
Allowance,2022-02,0.0,0.0,0.0,0.0
Allowance,2022-03,0.0,0.0,0.0,0.0
Household,2021-11,0.0,0.0,0.0,0.0
Household,2021-12,4800.0,4800.0,4800.0,4800.0
Household,2022-01,4580.0,4580.0,4580.0,4580.0
Household,2022-02,2808.0,2099.0,70.0,702.0
Household,2022-03,0.0,0.0,0.0,0.0
Transportation,2021-11,331.0,130.0,35.0,66.2
Transportation,2021-12,914.0,306.0,43.0,182.8
Transportation,2022-01,2850.0,1365.0,42.0,285.0
Transportation,2022-02,5078.8,1575.0,60.0,507.88
Transportation,2022-03,30.0,30.0,30.0,30.0
Salary,2021-11,0.0,0.0,0.0,0.0
Salary,2021-12,0.0,0.0,0.0,0.0
Salary,2022-01,8000.0,8000.0,8000.0,8000.0
Salary,2022-02,0.0,0.0,0.0,0.0
Salary,2022-03,0.0,0.0,0.0,0.0
Apparel,2021-11,0.0,0.0,0.0,0.0
Apparel,2021-12,2590.0,1800.0,20.0,518.0
Apparel,2022-01,0.0,0.0,0.0,0.0
Apparel,2022-02,798.0,399.0,399.0,399.0
Apparel,2022-03,0.0,0.0,0.0,0.0
Social Life,2021-11,0.0,0.0,0.0,0.0
Social Life,2021-12,513.72,363.72,150.0,256.86
Social Life,2022-01,200.0,200.0,200.0,200.0
Social Life,2022-02,1800.0,1700.0,100.0,900.0
Social Life,2022-03,0.0,0.0,0.0,0.0
Education,2021-11,0.0,0.0,0.0,0.0
Education,2021-12,0.0,0.0,0.0,0.0
Education,2022-01,1400.0,1400.0,1400.0,1400.0
Education,2022-02,0.0,0.0,0.0,0.0
Education,2022-03,0.0,0.0,0.0,0.0
Self-development,2021-11,0.0,0.0,0.0,0.0
Self-development,2021-12,400.0,400.0,400.0,400.0
Self-development,2022-01,0.0,0.0,0.0,0.0
Self-development,2022-02,0.0,0.0,0.0,0.0
Self-development,2022-03,0.0,0.0,0.0,0.0
Beauty,2021-11,0.0,0.0,0.0,0.0
Beauty,2021-12,196.0,196.0,196.0,196.0
Beauty,2022-01,0.0,0.0,0.0,0.0
Beauty,2022-02,0.0,0.0,0.0,0.0
Beauty,2022-03,0.0,0.0,0.0,0.0
Gift,2021-11,115.0,115.0,115.0,115.0
Gift,2021-12,0.0,0.0,0.0,0.0
Gift,2022-01,0.0,0.0,0.0,0.0
Gift,2022-02,0.0,0.0,0.0,0.0
Gift,2022-03,0.0,0.0,0.0,0.0
Petty cash,2021-11,3.0,3.0,3.0,3.0
Petty cash,2021-12,0.0,0.0,0.0,0.0
Petty cash,2022-01,0.0,0.0,0.0,0.0
Petty cash,2022-02,0.0,0.0,0.0,0.0
Petty cash,2022-03,0.0,0.0,0.0,0.0
